tanggal,batch_id,operator_mt,jenis_magnetisasi,arus_magnetisasi_A,arah_medan,jenis_partikel,lifting_power_kg,indikasi_ditemukan,panjang_indikasi_mm,mt_hasil,tanggal_kalibrasi_mt
2026-07-01,B001,MT-01,Prod,105.8,Circular,Wet Visible,5.09,Tidak Ada,0.0,Accept,2026-07-24
2026-07-02,B002,MT-02,Yoke DC,97.8,Longitudinal,Dry,5.62,Tidak Ada,0.0,Accept,2026-06-28
2026-07-03,B003,MT-02,Yoke AC,90.5,Longitudinal,Wet Visible,5.29,Tidak Ada,0.0,Accept,2026-07-30
2026-07-04,B004,MT-03,Prod,114.1,Longitudinal,Wet Fluorescent,4.9,Tidak Ada,0.0,Accept,2026-07-28
2026-07-05,B005,MT-02,Prod,122.8,Longitudinal,Wet Fluorescent,5.6,Tidak Ada,0.0,Accept,2026-07-07
2026-07-06,B006,MT-02,Yoke DC,113.1,Circular,Wet Fluorescent,5.7,Tidak Ada,0.0,Accept,2026-06-27
2026-07-07,B007,MT-02,Yoke DC,119.2,Longitudinal,Wet Fluorescent,5.02,Tidak Ada,0.0,Accept,2026-06-12
2026-07-08,B008,MT-01,Yoke AC,131.7,Longitudinal,Wet Visible,5.56,Tidak Ada,0.0,Accept,2026-06-12
2026-07-09,B009,MT-01,Yoke DC,114.8,Longitudinal,Wet Fluorescent,5.36,Tidak Ada,0.0,Accept,2026-06-01
2026-07-10,B010,MT-03,Yoke AC,117.1,Circular,Dry,5.52,Tidak Ada,0.0,Accept,2026-06-29
2026-07-11,B011,MT-01,Yoke DC,115.1,Longitudinal,Wet Visible,5.49,Tidak Ada,0.0,Accept,2026-07-06
2026-07-12,B012,MT-03,Prod,101.4,Circular,Wet Fluorescent,5.78,Tidak Ada,0.0,Accept,2026-06-06
2026-07-13,B013,MT-02,Yoke DC,99.7,Circular,Wet Visible,5.26,Tidak Ada,0.0,Accept,2026-07-04
2026-07-14,B014,MT-02,Yoke DC,115.8,Circular,Wet Fluorescent,4.7,Tidak Ada,0.0,Accept,2026-07-12
2026-07-15,B015,MT-03,Yoke AC,122.0,Longitudinal,Wet Fluorescent,3.81,Tidak Ada,0.0,Accept,2026-06-09
2026-07-16,B016,MT-03,Yoke AC,89.5,Circular,Wet Visible,5.44,Tidak Ada,0.0,Accept,2026-07-15
2026-07-17,B017,MT-03,Prod,93.8,Circular,Dry,6.13,Tidak Ada,0.0,Accept,2026-07-18
2026-07-18,B018,MT-01,Yoke AC,80.9,Circular,Wet Visible,5.8,Tidak Ada,0.0,Accept,2026-07-06
2026-07-19,B019,MT-02,Yoke AC,135.1,Longitudinal,Wet Fluorescent,5.56,Tidak Ada,0.0,Accept,2026-07-06
2026-07-20,B020,MT-01,Yoke AC,90.5,Circular,Wet Fluorescent,4.91,Tidak Ada,0.0,Accept,2026-06-28
2026-07-21,B021,MT-03,Yoke AC,112.1,Circular,Wet Fluorescent,4.96,Tidak Ada,0.0,Accept,2026-07-25
2026-07-22,B022,MT-01,Yoke AC,114.5,Circular,Wet Visible,4.7,Linear,3.3,Accept,2026-07-16
2026-07-23,B023,MT-02,Yoke DC,97.6,Longitudinal,Wet Visible,4.76,Tidak Ada,0.0,Accept,2026-07-25
2026-07-24,B024,MT-03,Yoke DC,102.7,Circular,Dry,4.84,Tidak Ada,0.0,Accept,2026-07-22
2026-07-25,B025,MT-03,Prod,123.3,Circular,Dry,3.99,Tidak Ada,0.0,Accept,2026-06-21
2026-07-26,B026,MT-02,Yoke AC,111.5,Longitudinal,Wet Visible,5.55,Tidak Ada,0.0,Accept,2026-06-04
2026-07-27,B027,MT-01,Prod,99.5,Longitudinal,Wet Fluorescent,5.42,Tidak Ada,0.0,Accept,2026-06-12
2026-07-28,B028,MT-01,Yoke AC,107.5,Circular,Wet Fluorescent,4.79,Tidak Ada,0.0,Accept,2026-07-12
2026-07-29,B029,MT-01,Yoke AC,75.7,Circular,Wet Visible,5.71,Tidak Ada,0.0,Accept,2026-07-18
2026-07-30,B030,MT-02,Yoke AC,127.3,Circular,Wet Visible,5.08,Tidak Ada,0.0,Accept,2026-06-09
2026-07-31,B031,MT-03,Yoke DC,94.5,Circular,Dry,6.08,Tidak Ada,0.0,Accept,2026-07-03
2026-08-01,B032,MT-03,Yoke DC,98.0,Circular,Wet Visible,4.88,Tidak Ada,0.0,Accept,2026-06-10
2026-08-02,B033,MT-02,Yoke AC,86.6,Longitudinal,Wet Visible,5.05,Rounded,9.0,Reject,2026-07-30
2026-08-03,B034,MT-03,Yoke DC,108.8,Longitudinal,Dry,5.64,Tidak Ada,0.0,Accept,2026-07-03
2026-08-04,B035,MT-02,Yoke AC,101.5,Circular,Wet Fluorescent,5.85,Tidak Ada,0.0,Accept,2026-07-28
2026-08-05,B036,MT-02,Yoke DC,129.2,Circular,Wet Visible,4.98,Tidak Ada,0.0,Accept,2026-07-25
