tanggal,batch_id,operator_ut,probe_freq_MHz,probe_angle_deg,gain_dB,thickness_reading_mm,indication_amplitude_pct,defect_depth_mm,defect_length_mm,ut_hasil,tanggal_kalibrasi_ut
2026-07-01,B001,UT-02,4.0,45,36.9,9.912,35.7,0.0,0.0,Accept,2026-06-05
2026-07-02,B002,UT-03,2.25,70,38.7,10.169,44.1,0.0,0.0,Accept,2026-07-06
2026-07-03,B003,UT-03,2.25,45,36.3,10.066,23.9,0.0,0.0,Accept,2026-07-27
2026-07-04,B004,UT-02,5.0,60,38.5,9.947,20.0,0.0,0.0,Accept,2026-06-14
2026-07-05,B005,UT-02,5.0,45,40.7,9.723,29.3,0.0,0.0,Accept,2026-07-22
2026-07-06,B006,UT-02,2.25,70,40.2,9.966,19.3,0.0,0.0,Accept,2026-07-14
2026-07-07,B007,UT-02,2.25,45,43.4,10.244,24.2,0.0,0.0,Accept,2026-07-29
2026-07-08,B008,UT-02,5.0,60,44.9,10.225,60.2,6.78,6.5,Reject,2026-07-25
2026-07-09,B009,UT-02,4.0,45,40.9,10.126,10.1,0.0,0.0,Accept,2026-06-10
2026-07-10,B010,UT-01,4.0,60,38.6,9.636,18.5,0.0,0.0,Accept,2026-06-28
2026-07-11,B011,UT-02,2.25,70,36.7,9.855,35.2,0.0,0.0,Accept,2026-07-22
2026-07-12,B012,UT-03,4.0,60,38.2,9.828,24.5,0.0,0.0,Accept,2026-07-30
2026-07-13,B013,UT-01,4.0,60,40.3,10.095,35.2,0.0,0.0,Accept,2026-06-05
2026-07-14,B014,UT-01,5.0,45,45.4,10.054,15.2,0.0,0.0,Accept,2026-06-03
2026-07-15,B015,UT-03,5.0,70,41.9,10.098,34.0,0.0,0.0,Accept,2026-06-21
2026-07-16,B016,UT-03,5.0,70,45.2,10.03,44.8,0.0,0.0,Accept,2026-07-18
2026-07-17,B017,UT-03,5.0,60,38.4,10.076,14.7,0.0,0.0,Accept,2026-07-18
2026-07-18,B018,UT-03,5.0,45,39.2,9.75,5.0,0.0,0.0,Accept,2026-06-05
2026-07-19,B019,UT-02,4.0,45,42.6,10.389,34.3,0.0,0.0,Accept,2026-06-26
2026-07-20,B020,UT-02,5.0,60,36.2,9.768,89.1,4.37,10.3,Reject,2026-07-06
2026-07-21,B021,UT-02,5.0,60,41.9,10.049,20.1,0.0,0.0,Accept,2026-07-17
2026-07-22,B022,UT-01,5.0,60,33.3,10.035,22.1,0.0,0.0,Accept,2026-06-15
2026-07-23,B023,UT-02,5.0,45,36.6,10.003,21.4,0.0,0.0,Accept,2026-07-29
2026-07-24,B024,UT-03,5.0,70,40.2,9.808,24.1,0.0,0.0,Accept,2026-06-24
2026-07-25,B025,UT-03,2.25,45,43.7,9.948,22.4,0.0,0.0,Accept,2026-06-15
2026-07-26,B026,UT-01,5.0,70,44.8,10.346,81.5,6.42,11.0,Reject,2026-06-29
2026-07-27,B027,UT-03,4.0,60,41.9,9.928,72.6,3.08,4.1,Reject,2026-06-07
2026-07-28,B028,UT-01,4.0,45,39.6,10.163,0.4,0.0,0.0,Accept,2026-06-02
2026-07-29,B029,UT-02,2.25,60,39.6,10.092,45.9,0.0,0.0,Accept,2026-06-09
2026-07-30,B030,UT-01,4.0,45,39.7,9.996,14.5,0.0,0.0,Accept,2026-06-06
2026-07-31,B031,UT-03,2.25,60,40.5,10.027,26.8,0.0,0.0,Accept,2026-07-17
2026-08-01,B032,UT-01,2.25,60,37.0,9.934,32.5,0.0,0.0,Accept,2026-07-20
2026-08-02,B033,UT-01,2.25,45,38.8,10.242,33.0,0.0,0.0,Accept,2026-07-30
2026-08-03,B034,UT-02,4.0,70,41.8,10.105,29.5,0.0,0.0,Accept,2026-06-25
2026-08-04,B035,UT-02,5.0,45,39.2,10.166,37.9,0.0,0.0,Accept,2026-06-08
2026-08-05,B036,UT-03,2.25,45,43.2,10.337,10.4,0.0,0.0,Accept,2026-07-04
2026-08-06,B037,UT-02,4.0,60,39.3,9.663,25.4,0.0,0.0,Accept,2026-06-11
2026-08-07,B038,UT-02,2.25,45,36.5,9.77,18.2,0.0,0.0,Accept,2026-07-02
