tanggal,batch_id,shift,operator,jenis_proses,arus_A,tegangan_V,travel_speed_cm_min,preheat_C,interpass_C,gas_flow_L_min,material_grade,heat_number,joint_type,welding_position,suhu_ambient_C,kelembaban_persen
2026-07-01,B001,Shift 3,OP-03,SMAW,152.5,23.7,13.3,150.5,198.1,14.5,A387 Gr.11,HT-2026-971,Tee Joint,2G,30.2,77.0
2026-07-02,B002,Shift 3,OP-04,SMAW,145.3,23.1,10.9,117.7,169.9,13.5,A516 Gr.70,HT-2026-584,Tee Joint,3G,28.8,83.7
2026-07-03,B003,Shift 2,OP-01,GTAW,149.4,22.7,10.0,116.8,161.4,15.0,A387 Gr.11,HT-2026-487,Fillet Joint,2G,35.6,85.2
2026-07-04,B004,Shift 2,OP-01,SMAW,148.3,25.8,10.0,88.3,146.1,13.9,SS400,HT-2026-256,Tee Joint,1G,28.6,81.7
2026-07-05,B005,Shift 2,OP-01,SAW,160.5,25.9,10.3,113.8,167.1,17.0,A516 Gr.70,HT-2026-673,Butt Joint,3G,26.9,81.8
2026-07-06,B006,Shift 1,OP-03,SAW,114.3,26.1,10.1,135.7,179.5,15.7,A387 Gr.11,HT-2026-842,Butt Joint,4G,33.6,81.5
2026-07-07,B007,Shift 3,OP-04,GTAW,149.5,21.9,9.2,123.8,175.2,16.2,A36,HT-2026-656,Fillet Joint,1G,29.8,72.3
2026-07-08,B008,Shift 2,OP-01,SMAW,138.8,21.2,11.3,135.0,181.7,13.3,SS400,HT-2026-382,Fillet Joint,1G,30.6,79.6
2026-07-09,B009,Shift 3,OP-03,GTAW,145.1,23.5,9.2,111.6,158.2,13.4,A387 Gr.11,HT-2026-707,Butt Joint,4G,30.5,77.6
2026-07-10,B010,Shift 2,OP-05,GTAW,116.2,23.9,12.1,169.3,217.3,15.6,A387 Gr.11,HT-2026-809,Tee Joint,4G,29.6,73.9
2026-07-11,B011,Shift 1,OP-01,SAW,155.9,22.8,12.7,119.6,181.7,14.2,A36,HT-2026-563,Butt Joint,3G,33.4,83.2
2026-07-12,B012,Shift 3,OP-02,SMAW,145.1,23.3,13.3,95.5,150.9,13.2,A516 Gr.70,HT-2026-572,Fillet Joint,3G,33.7,80.4
